BOD(㎎/L),COD(㎎/L),Conductivity(µS/㎝),DO (㎎/L),Dissolved Total P(㎎/L),SS(㎎/L),T-N(㎎/L),T-P(㎎/L),Temp.(℃),TSI(Chl-a)
2.0,3.8,165.0,15.4,0.011,6.9,2.644,0.039,1.7,66.78790744485772
11.4,11.5,537.0,10.1,0.748,7.0,17.906,0.788,11.0,44.90901337268226
1.2,2.3,54.0,14.4,0.0,1.2,2.4,0.0,2.0,33.9007926412541
2.7,18.1,523.0,8.7,0.528,3.2,18.216,0.888,9.0,39.97356727571915
5.2,5.8,237.0,16.4,0.065,10.1,5.499,0.154,3.3,70.10620232090608
6.7,9.1,615.0,14.1,0.586,6.8,17.598,0.59,3.0,50.49613430593732
4.4,7.2,276.0,16.0,0.23,12.5,5.208,0.235,4.0,74.3426690996962
1.6,3.8,160.0,16.6,0.034,4.8,2.243,0.035,2.0,64.47547135301602
7.1,11.1,544.0,11.5,0.333,13.2,18.917,0.42,5.0,54.300114165133294
3.1,7.1,450.0,14.3,0.6,4.0,7.56,0.682,7.0,37.39977384129307
2.7,4.2,209.0,14.1,0.077,5.6,3.71,0.092,2.0,63.90012734034643
2.8,6.1,662.0,11.7,0.024,4.8,14.352,0.12,8.0,47.67397317518535
2.3,5.6,286.0,14.9,0.11,2.8,5.616,0.24,0.0,63.56528254786205
3.3,5.2,214.0,14.2,0.124,5.6,4.289,0.129,2.0,63.998391934914885
1.2,1.3,533.0,14.3,0.0,1.2,11.952,0.0,6.0,29.566413341396725
1.2,2.8,190.0,14.3,0.0,1.6,2.408,0.0,3.0,53.75997775096779
2.0,4.7,297.0,12.0,0.12,4.4,4.908,0.211,4.0,52.04516302480071
3.5,6.1,487.0,9.9,0.034,6.2,10.488,0.106,9.0,27.10101879996104
7.4,6.4,263.0,13.7,0.194,10.3,4.836,0.196,7.0,66.66450959140842
1.9,2.4,189.0,13.7,0.005,0.8,2.128,0.005,6.0,40.34379989323088
3.7,6.1,285.0,9.0,0.072,9.8,3.672,0.197,4.0,56.13238581420941
2.3,4.9,191.0,14.9,0.008,7.8,2.455,0.027,6.0,65.72703286879843
4.1,4.2,600.0,13.1,0.043,4.6,13.944,0.106,8.0,46.96020390967473
4.8,7.1,263.0,14.8,0.182,14.4,4.629,0.195,7.0,72.72963957323645
4.8,15.9,549.0,8.8,1.704,4.2,19.344,1.944,11.0,36.8965866233512
2.6,4.7,176.0,15.9,0.017,8.8,2.642,0.044,6.0,61.14358518335378
5.3,7.0,251.0,14.1,0.192,24.4,4.419,0.206,7.0,67.70057947999584
12.6,12.6,596.0,9.9,0.804,7.8,15.02,0.822,9.0,48.65579190362935
3.0,6.0,460.0,11.4,0.125,0.2,7.164,0.149,5.0,8.011640237728415
1.6,2.4,203.0,13.7,0.0,1.8,2.184,0.005,7.0,33.17379343442609
4.5,9.0,498.0,9.8,0.13,2.8,14.472,0.206,9.0,23.800226158706938
4.4,11.9,701.0,10.2,0.385,6.9,18.645,0.486,11.8,41.37738655183416
2.0,4.5,180.0,14.7,0.004,6.5,2.016,0.017,6.0,63.76755775532088
7.6,10.1,637.0,11.7,0.283,9.6,15.326,0.311,8.0,51.12118644506504
5.2,8.0,544.0,12.0,0.245,4.0,8.064,0.384,6.0,25.588800630855637
5.8,7.7,312.0,12.6,0.137,23.6,4.577,0.151,7.2,72.52680671009149
5.5,6.5,220.0,14.4,0.095,13.0,4.79,0.165,6.2,68.8386352350872
3.4,7.6,305.0,14.0,0.192,6.8,5.232,0.307,5.0,65.8357320418666
2.9,7.2,492.0,11.2,0.038,6.0,9.72,0.091,18.0,41.04481232989572
7.3,6.4,242.0,9.3,0.189,18.6,4.706,0.228,12.0,64.12789876624711
5.7,14.6,533.0,8.2,0.9,5.4,20.376,1.08,17.0,31.53499286388043
7.1,5.6,305.0,8.5,0.276,12.4,5.557,0.291,14.0,57.23115543688282
4.8,9.6,581.0,9.4,0.235,9.0,15.552,0.437,10.0,35.80546314291989
2.6,7.9,286.0,11.6,0.158,2.8,5.328,0.254,11.0,66.53953974853184
2.0,8.1,537.0,11.2,0.37,4.4,9.396,0.466,15.0,39.18834831344176
2.3,5.7,268.0,8.0,0.144,7.0,3.876,0.221,11.0,49.82852983150372
2.1,8.9,467.0,9.9,0.173,4.6,6.504,0.211,12.0,42.60523698421296
4.3,5.4,528.0,11.5,0.029,8.6,9.432,0.096,16.0,54.21213151260241
4.4,5.9,229.0,11.7,0.152,8.4,4.769,0.193,12.8,65.42174656431601
1.2,2.9,170.0,11.3,0.0,0.2,2.208,0.0,13.0,37.39977384129307
1.3,3.6,87.0,11.2,0.013,5.0,1.973,0.02,12.0,53.666991272773714
8.5,12.5,1159.0,12.9,0.38,8.2,16.902,0.394,14.0,58.10096533669311
3.0,5.4,300.0,7.6,0.068,7.6,3.323,0.113,13.0,56.204784666799085
2.8,8.8,478.0,10.8,0.106,4.6,11.688,0.178,16.0,37.8784053517952
2.2,4.1,170.0,13.1,0.015,5.1,2.071,0.028,12.5,51.93431438775962
