BOD(㎎/L),COD(㎎/L),Conductivity(µS/㎝),DO (㎎/L),Dissolved Total P(㎎/L),SS(㎎/L),T-N(㎎/L),T-P(㎎/L),Temp.(℃),TSI(Chl-a)
6.8,9.6,454.0,3.9,1.056,11.6,13.272,1.171,22.8,46.190397362193664
0.9,3.4,398.0,11.6,0.053,2.2,7.548,0.062,21.6,42.31237941571459
1.8,3.9,157.0,11.1,0.006,9.4,2.162,0.037,17.7,57.16597247281268
2.2,5.1,462.0,10.3,0.806,2.2,9.576,0.83,20.7,53.38262353604711
1.5,4.5,227.0,9.7,0.062,10.4,3.297,0.071,17.7,58.21915953753678
0.5,2.2,152.0,9.2,0.014,1.6,2.702,0.019,20.6,50.10104735539413
1.8,4.8,166.0,11.6,0.01,8.7,2.27,0.034,17.2,66.95809758692027
1.3,2.8,446.0,12.9,0.082,2.4,3.776,0.082,20.4,48.17716039312722
0.8,2.7,152.0,10.0,0.019,2.4,2.712,0.019,21.4,47.50034032384023
5.8,5.6,234.0,9.1,0.067,3.2,14.688,0.086,6.8,41.37738655183416
1.0,3.9,173.0,11.4,0.022,5.8,1.979,0.045,11.5,53.18835976227159
1.9,2.6,384.0,12.2,0.034,1.6,7.764,0.058,7.1,42.01050944419373
3.4,5.1,379.0,12.4,0.106,1.6,8.892,0.144,6.9,53.38262353604711
4.0,3.2,180.0,10.8,0.307,3.2,6.256,0.326,5.0,39.97356727571915
1.4,1.3,142.0,12.5,0.01,0.8,2.722,0.01,9.1,31.53499286388043
1.1,4.1,215.0,11.1,0.018,6.6,2.342,0.019,11.7,55.61005712677986
13.4,7.6,463.0,7.8,0.998,8.0,13.104,1.075,11.9,42.01050944419373
1.2,3.3,188.0,11.8,0.007,4.3,2.114,0.018,9.4,57.73759046150889
2.0,3.5,424.0,12.8,0.115,1.6,9.6,0.115,5.3,28.4109617616076
4.1,2.0,348.0,13.7,0.029,2.8,9.84,0.048,6.3,35.80546314291989
1.7,4.7,281.0,11.3,0.118,10.1,3.847,0.134,10.6,51.47795303438132
1.4,4.0,232.0,9.7,0.126,4.5,3.749,0.148,10.1,49.68937856223263
1.1,4.5,271.0,10.6,0.12,4.8,3.842,0.147,12.2,45.78158821050409
5.4,7.7,735.0,9.9,0.074,4.1,12.831,0.109,10.9,50.99932152387919
4.1,4.9,241.0,8.6,0.168,2.8,5.128,0.202,7.3,45.570612337286434
1.5,1.3,136.0,11.4,0.01,3.6,2.669,0.014,10.8,35.21073560290067
2.7,1.9,306.0,13.9,0.058,5.2,4.888,0.062,4.9,14.811414079021477
2.4,1.9,365.0,10.5,0.014,2.0,4.096,0.019,9.4,33.17379343442609
2.2,2.6,467.0,12.8,0.029,0.8,8.508,0.029,7.3,37.8784053517952
1.2,4.4,246.0,11.6,0.042,5.6,3.103,0.045,11.9,49.11215325700765
1.2,4.1,214.0,10.8,0.004,6.0,2.242,0.015,11.6,48.498828555020765
2.2,2.6,405.0,12.2,0.058,3.6,8.4,0.072,10.2,48.8102832854868
2.3,3.7,367.0,12.3,0.451,0.8,6.64,0.461,5.2,18.78902678956257
8.6,6.0,434.0,9.4,0.298,2.4,11.88,0.35,10.6,42.60523698421296
1.4,2.5,415.0,12.1,0.077,6.2,9.8,0.11,4.5,28.4109617616076
0.3,1.9,169.0,13.1,0.014,0.6,3.9,0.019,3.4,37.39977384129307
5.9,0.8,352.0,16.4,0.034,0.2,5.4,0.048,3.7,39.58881207968547
5.4,7.5,396.0,9.0,0.317,4.6,13.7,0.398,10.3,49.11215325700765
1.4,3.8,272.0,13.0,0.028,2.8,3.611,0.04,6.0,45.570612337286434
7.6,6.7,332.0,14.3,0.096,19.4,9.5,0.206,4.1,53.38262353604711
5.9,7.2,491.0,12.1,0.077,5.0,22.1,0.101,5.4,45.570612337286434
1.9,2.5,175.0,14.8,0.13,0.8,6.0,0.149,1.6,38.33476670517349
1.3,4.1,322.0,13.7,0.1,5.6,4.589,0.126,6.0,48.65579190362935
2.3,4.1,321.0,13.0,0.173,1.4,9.8,0.192,7.4,41.6990547137277
1.9,3.9,326.0,12.0,0.173,4.0,7.7,0.206,5.0,35.80546314291989
2.2,4.5,347.0,11.6,0.053,4.6,11.3,0.091,9.5,42.60523698421296
1.7,3.9,266.0,11.1,0.132,3.3,4.387,0.152,5.1,44.19954768258613
1.8,4.4,344.0,11.3,0.072,2.6,10.3,0.139,7.6,33.9007926412541
7.5,8.9,648.0,10.0,0.085,10.1,13.723,0.165,8.4,52.68517254432972
1.2,4.2,293.0,13.2,0.11,3.6,4.359,0.138,6.5,40.34379989323088
4.2,5.5,338.0,12.9,0.197,4.0,5.755,0.243,6.5,37.39977384129307
0.6,1.8,138.0,16.0,0.005,2.2,3.8,0.014,3.5,29.566413341396725
7.8,9.3,398.0,8.1,1.229,7.0,14.8,1.344,11.7,42.88960472093956
2.6,2.7,177.0,11.0,0.106,2.2,4.3,0.134,3.9,37.39977384129307
0.8,3.2,238.0,14.5,0.011,2.8,2.633,0.024,5.6,45.13454054646655
1.6,1.3,317.0,16.2,0.024,1.4,8.3,0.048,4.2,38.33476670517349
0.3,0.9,427.0,12.2,0.014,3.0,3.1,0.019,10.4,40.70056648254716
0.9,3.2,223.0,13.8,0.011,3.6,2.763,0.022,5.3,39.58881207968547
0.8,2.7,213.0,13.2,0.009,3.0,2.548,0.016,5.6,47.14357373452395
1.8,2.1,230.0,15.2,0.014,1.2,3.928,0.029,4.5,30.6
1.6,2.3,127.0,10.8,0.005,1.6,3.01,0.014,4.8,35.80546314291989
1.6,2.0,248.0,14.9,0.019,0.8,5.56,0.024,7.1,45.13454054646655
1.2,3.2,219.0,17.8,0.028,3.8,3.579,0.031,1.5,53.666991272773714
1.0,3.3,210.0,16.2,0.019,2.0,2.934,0.03,2.5,52.04516302480071
2.1,4.6,319.0,13.2,0.403,5.0,8.34,0.456,3.6,39.58881207968547
10.3,18.6,385.0,6.8,0.48,34.0,10.229,0.72,10.0,47.50034032384023
2.7,6.9,309.0,12.9,0.091,7.0,9.468,0.187,8.2,41.37738655183416
1.3,3.6,163.0,14.5,0.029,7.6,2.785,0.059,2.2,54.7285665380944
4.7,7.4,363.0,9.7,0.13,14.0,9.528,0.211,4.8,54.89484170515252
1.7,2.6,468.0,13.8,0.086,2.8,12.168,0.101,2.8,42.60523698421296
4.8,8.7,790.0,10.9,0.117,7.0,13.456,0.165,6.8,45.78158821050409
2.7,4.6,185.0,12.7,0.038,9.5,8.496,0.053,2.5,34.577612710541096
1.3,2.6,113.0,10.2,0.005,2.2,2.822,0.029,3.3,36.36618718268979
1.5,4.1,216.0,17.4,0.023,2.8,3.43,0.037,1.7,53.38262353604711
1.8,4.2,183.0,18.1,0.094,3.6,4.218,0.095,3.0,54.38731473929647
4.6,11.0,843.0,10.7,0.18,7.7,16.001,0.303,6.1,47.50034032384023
1.7,2.5,389.0,14.1,0.058,2.8,5.912,0.077,6.0,40.70056648254716
1.5,2.1,158.0,15.0,0.01,0.6,3.49,0.014,3.0,44.44178221209767
1.3,3.5,211.0,15.8,0.026,3.2,3.114,0.029,1.7,52.04516302480071
8.0,9.4,587.0,14.0,0.175,12.8,15.205,0.206,11.1,45.570612337286434
2.2,6.1,299.0,13.0,0.062,9.8,8.988,0.144,5.2,38.770838495993374
3.5,3.7,414.0,9.8,0.024,3.2,11.064,0.043,8.4,48.339312845268594
3.2,6.0,218.0,13.2,0.097,5.3,4.065,0.145,2.6,56.204784666799085
2.2,3.5,184.0,11.3,0.096,1.8,4.368,0.12,2.3,44.90901337268226
1.8,4.7,301.0,15.0,0.099,7.5,3.856,0.115,3.1,55.61005712677986
3.7,4.1,369.0,12.8,0.014,9.6,8.448,0.034,10.5,51.47795303438132
7.5,10.6,685.0,13.0,0.066,6.4,13.68,0.099,8.4,49.11215325700765
2.7,4.9,452.0,13.6,0.096,3.2,6.312,0.139,6.2,44.90901337268226
4.6,10.8,618.0,9.7,0.123,6.9,15.47,0.229,11.3,46.190397362193664
6.5,8.8,396.0,12.5,0.144,16.4,10.416,0.221,8.5,53.57311495830528
2.2,3.6,205.0,12.0,0.072,1.6,4.136,0.106,7.0,51.82219888172988
3.2,5.0,212.0,12.7,0.039,7.4,3.562,0.075,8.1,61.57017413148262
3.1,5.0,238.0,13.0,0.054,9.7,4.003,0.087,8.2,65.75432078625444
3.8,5.9,320.0,11.7,0.024,8.0,8.016,0.086,8.7,50.62437142611306
1.0,1.9,149.0,12.2,0.005,3.2,2.602,0.005,5.1,50.99932152387919
3.4,5.5,311.0,14.1,0.029,7.2,8.328,0.077,9.3,50.8759236704299
2.2,3.8,190.0,12.0,0.005,6.2,2.679,0.006,7.6,61.14358518335378
2.8,5.0,327.0,15.8,0.077,6.4,6.072,0.11,7.3,41.6990547137277
2.9,4.7,189.0,11.6,0.086,7.2,3.744,0.149,7.2,52.787895996027885
2.2,2.9,224.0,14.2,0.014,4.8,3.416,0.014,8.0,31.53499286388043
14.2,17.3,413.0,8.2,1.43,12.0,14.28,1.603,12.6,46.38858592097853
1.5,2.5,221.0,13.6,0.014,2.8,3.84,0.024,8.3,34.577612710541096
4.4,5.0,229.0,12.8,0.063,9.0,3.907,0.088,8.6,60.27810545355421
1.1,2.2,162.0,11.7,0.005,2.4,2.707,0.005,5.9,41.37738655183416
11.5,12.1,557.0,13.3,0.77,9.8,12.604,0.816,15.4,49.405010825506025
1.6,4.2,204.0,13.4,0.008,8.8,2.597,0.01,8.7,61.61183024502965
1.6,3.5,137.0,13.5,0.009,4.9,2.34,0.024,6.7,59.223330881746776
1.6,3.6,169.0,11.7,0.004,5.8,2.483,0.005,7.4,59.73976590723877
1.4,2.5,199.0,10.6,0.005,1.2,3.029,0.014,8.0,46.773341117012215
1.7,3.0,372.0,15.4,0.024,4.4,5.776,0.043,7.8,43.16596102398285
3.2,4.8,180.0,12.7,0.053,5.1,3.31,0.122,7.5,59.11669939710276
2.5,4.3,184.0,11.8,0.018,7.2,2.826,0.043,11.1,60.2303681330762
1.8,3.8,188.0,9.8,0.019,5.2,2.89,0.019,12.9,48.01228256244352
2.3,4.2,184.0,12.2,0.014,6.0,2.762,0.032,10.8,59.93896056827569
8.5,11.2,561.0,10.3,0.595,23.3,10.356,0.658,16.3,58.62197272302294
1.9,3.4,184.0,14.3,0.015,5.8,2.408,0.048,10.6,60.69759929366079
2.5,6.7,383.0,7.7,0.077,18.8,5.484,0.096,12.3,55.13908668656166
6.9,7.9,210.0,5.2,0.091,27.2,4.016,0.13,11.9,60.37288879959834
31.8,9.5,493.0,4.6,1.094,19.2,18.816,1.162,16.3,47.67397317518535
1.7,3.6,154.0,12.7,0.008,5.3,2.269,0.024,10.3,55.21916876393183
2.2,5.0,328.0,8.6,0.01,12.8,3.6,0.024,15.6,46.38858592097853
1.2,3.1,166.0,10.3,0.0,4.0,2.744,0.005,12.2,43.434744960768256
5.8,8.0,365.0,9.0,0.058,18.4,8.808,0.134,14.5,55.837325978331705
7.0,9.4,415.0,9.5,0.115,8.8,7.728,0.168,13.4,58.27772687567439
1.8,3.5,176.0,13.4,0.314,6.4,2.378,0.326,10.6,59.43317845546351
3.0,7.7,386.0,6.2,0.144,12.0,5.028,0.168,14.8,44.19954768258613
2.8,4.8,197.0,11.3,0.069,7.5,3.509,0.142,10.9,53.666991272773714
7.0,11.3,658.0,9.2,0.248,9.1,16.083,0.419,15.4,45.570612337286434
1.0,3.1,143.0,9.9,0.005,3.2,2.472,0.005,12.2,41.6990547137277
2.1,3.3,400.0,17.3,0.01,8.4,4.8,0.019,13.3,42.60523698421296
4.7,5.5,386.0,6.2,0.038,13.6,7.764,0.11,14.8,45.988122154734825
2.8,5.4,179.0,8.4,0.038,4.8,2.776,0.053,12.1,48.01228256244352
3.2,5.3,229.0,11.1,0.098,6.2,4.271,0.145,12.1,64.06335905977532
7.3,10.4,682.0,8.3,0.276,8.3,13.786,0.364,16.5,55.91192709830071
2.8,5.0,224.0,12.4,0.073,8.6,3.247,0.114,11.0,62.56192703799074
3.3,5.3,386.0,11.1,0.024,3.2,6.984,0.029,15.0,50.99932152387919
1.0,2.9,132.0,9.0,0.005,2.4,2.414,0.005,11.1,46.582849694754046
0.3,1.6,126.0,10.6,0.01,1.2,2.842,0.01,16.4,45.570612337286434
1.8,3.9,175.0,10.4,0.011,7.6,1.916,0.026,17.8,60.27810545355421
1.8,5.0,403.0,10.4,0.158,22.4,6.492,0.197,18.9,53.75997775096779
0.6,2.1,132.0,10.5,0.01,4.0,2.578,0.014,18.0,44.19954768258613
1.9,4.1,185.0,10.1,0.02,8.2,2.343,0.042,18.5,60.83353680368938
11.9,8.8,385.0,8.9,0.387,20.8,6.091,0.479,19.9,51.70878721397533
1.1,2.9,373.0,22.6,0.029,5.2,3.824,0.029,17.3,48.01228256244352
6.6,4.0,220.0,3.4,0.278,6.4,4.272,0.293,18.6,50.49613430593732
2.0,4.1,165.0,10.6,0.013,4.9,2.047,0.027,18.5,57.36023624658821
1.9,4.6,193.0,9.4,0.063,6.3,2.823,0.101,18.8,57.487640634706224
3.3,5.4,361.0,7.9,0.067,22.0,8.388,0.082,18.3,46.96020390967473
5.7,9.6,710.0,8.5,0.23,17.3,13.192,0.34,23.2,56.558974762338245
7.1,4.4,424.0,12.3,0.024,13.2,9.66,0.029,18.8,60.878433907228285
4.9,10.1,643.0,8.4,0.251,8.9,15.254,0.39,23.3,50.10104735539413
5.5,5.2,949.0,5.9,0.216,1.6,4.452,0.226,15.7,30.6
2.5,4.5,180.0,11.7,0.018,7.4,1.889,0.024,18.1,62.09837623760689
5.4,6.9,452.0,8.6,0.389,7.2,9.288,0.394,19.8,39.97356727571915
5.0,5.4,363.0,14.3,0.086,6.4,9.552,0.101,18.8,47.84458617118879
2.2,4.4,184.0,10.3,0.017,7.8,2.497,0.056,18.6,60.55975159226086
1.5,4.9,343.0,8.2,0.038,5.6,7.336,0.048,18.5,48.962379355404615
0.7,4.3,203.0,14.0,0.014,6.8,3.232,0.019,17.8,48.17716039312722
3.4,3.5,197.0,8.7,0.101,3.2,3.4,0.106,19.4,55.13908668656166
21.4,10.7,443.0,6.9,0.941,6.8,20.304,1.027,19.9,44.90901337268226
2.1,4.7,191.0,10.9,0.063,7.4,2.872,0.121,18.7,64.62947765563388
3.2,5.0,267.0,10.4,0.089,12.2,3.18,0.12,19.3,62.85922251653992
3.7,9.4,653.0,8.0,0.24,4.8,11.978,0.306,27.6,56.418829521740506
1.4,1.5,154.0,11.8,0.014,0.8,1.997,0.019,24.1,28.4109617616076
1.7,5.0,243.0,6.5,0.075,8.1,2.127,0.108,22.6,48.17716039312722
1.0,2.8,135.0,11.0,0.005,0.4,2.069,0.01,20.5,33.9007926412541
1.9,2.9,257.0,11.1,0.019,4.0,2.656,0.019,22.4,39.18834831344176
3.2,5.1,382.0,7.7,0.091,22.8,5.676,0.091,21.9,43.95117998626024
1.0,3.6,188.0,7.2,0.029,2.8,2.381,0.029,23.5,37.39977384129307
4.0,6.3,374.0,8.3,0.082,14.0,6.024,0.082,21.6,45.988122154734825
8.7,12.5,525.0,7.1,0.792,17.4,7.828,0.823,27.1,35.21073560290067
2.0,4.9,192.0,8.2,0.077,11.0,2.893,0.127,22.8,57.920960286358095
2.5,7.8,518.0,8.4,0.206,8.8,7.119,0.24,25.8,48.962379355404615
0.9,3.7,169.0,10.1,0.004,14.4,1.736,0.024,21.5,51.12118644506504
19.0,7.1,531.0,9.9,0.355,24.4,15.864,0.355,23.0,55.37739800066399
3.0,4.0,672.0,8.3,0.187,4.0,3.948,0.192,18.9,43.16596102398285
1.0,3.7,185.0,9.6,0.009,14.4,1.664,0.026,21.2,44.44178221209767
5.8,4.9,451.0,11.1,0.043,30.0,7.572,0.058,24.6,50.36619863151962
2.2,3.2,460.0,14.0,0.082,2.4,4.432,0.086,20.5,43.69636046464426
2.8,4.2,204.0,8.9,0.077,3.2,2.768,0.086,22.0,51.12118644506504
20.3,11.4,474.0,3.5,1.171,10.8,12.264,1.286,24.2,47.32357878485895
1.4,4.5,202.0,8.9,0.014,13.1,2.127,0.053,21.2,54.81205640373659
1.7,3.8,367.0,9.5,0.058,2.0,5.936,0.067,22.3,45.35499926237525
2.8,5.6,223.0,9.5,0.07,19.6,2.75,0.102,23.5,60.08574634923424
2.0,4.4,164.0,10.7,0.019,6.4,2.169,0.041,23.0,51.24155605339074
0.9,3.9,193.0,10.1,0.001,15.4,2.036,0.005,21.3,56.204784666799085
2.6,5.7,410.0,7.8,0.178,16.8,5.088,0.206,21.1,45.988122154734825
5.3,5.3,210.0,3.6,0.11,6.0,2.664,0.134,21.9,59.38113589309022
0.5,2.6,349.0,10.2,0.077,1.8,5.424,0.077,28.4,46.38858592097853
2.2,3.8,228.0,8.6,0.115,10.6,4.596,0.125,21.8,41.37738655183416
2.9,4.0,284.0,7.8,0.427,4.8,4.296,0.437,22.9,44.678179193088255
6.4,5.1,250.0,4.5,0.235,5.4,4.768,0.264,22.9,45.988122154734825
1.8,3.3,232.0,9.4,0.115,8.0,4.86,0.125,21.5,33.9007926412541
0.6,3.0,225.0,9.7,0.23,5.8,4.128,0.235,21.5,45.13454054646655
2.8,4.6,244.0,7.7,0.055,10.2,2.384,0.094,25.3,41.37738655183416
1.1,3.9,130.0,10.9,0.031,18.5,2.083,0.07,21.9,47.67397317518535
1.4,3.9,216.0,7.3,0.096,23.6,3.792,0.096,23.9,42.88960472093956
14.8,7.3,341.0,5.4,0.73,20.8,9.912,0.931,24.1,43.16596102398285
0.8,2.3,204.0,9.5,0.067,5.4,3.24,0.067,24.6,45.35499926237525
2.3,5.3,416.0,7.3,0.221,16.8,5.52,0.254,24.3,58.73408822905269
2.0,4.8,141.0,8.6,0.073,22.3,2.536,0.126,22.5,48.339312845268594
0.2,3.0,306.0,7.1,0.12,1.6,4.328,0.125,24.6,46.96020390967473
0.1,1.5,105.0,8.6,0.014,2.0,2.698,0.014,21.0,41.37738655183416
0.3,2.7,169.0,8.1,0.038,3.4,3.538,0.038,26.1,43.16596102398285
0.8,3.7,168.0,7.6,0.115,1.2,3.536,0.115,23.6,50.8759236704299
1.4,4.4,116.0,8.2,0.077,31.4,2.76,0.106,29.7,38.770838495993374
6.4,8.9,427.0,5.8,0.171,16.1,6.786,0.255,25.4,44.90901337268226
1.2,3.1,213.0,8.0,0.101,2.2,3.269,0.106,25.4,46.773341117012215
1.3,3.4,153.0,9.3,0.013,6.4,2.094,0.039,25.9,57.36023624658821
0.9,4.0,125.0,9.7,0.019,7.9,1.788,0.043,25.1,46.96020390967473
1.5,2.8,458.0,10.7,0.154,1.6,3.68,0.154,27.8,49.82852983150372
0.9,2.6,149.0,8.5,0.014,1.4,2.184,0.019,27.6,46.38858592097853
2.3,5.5,321.0,7.8,0.226,3.2,5.712,0.25,26.2,41.6990547137277
12.5,10.6,432.0,4.8,0.864,6.2,12.24,1.046,27.6,43.434744960768256
1.6,3.6,204.0,8.8,0.062,2.8,2.525,0.067,28.7,48.17716039312722
3.1,5.0,344.0,11.0,0.091,15.0,5.052,0.106,26.3,50.10104735539413
1.5,4.0,163.0,7.8,0.075,13.9,2.546,0.103,26.5,52.47644126556186
2.5,5.8,302.0,6.5,0.384,1.4,5.256,0.384,28.1,50.36619863151962
1.5,3.5,363.0,12.2,0.053,1.0,5.056,0.053,28.2,43.69636046464426
0.7,2.5,109.0,8.0,0.005,1.2,2.035,0.014,23.6,18.78902678956257
1.5,3.9,314.0,7.4,0.47,1.6,4.728,0.499,24.9,48.17716039312722
1.1,3.3,136.0,9.0,0.01,5.8,1.725,0.023,25.6,55.68639992451642
2.5,9.3,571.0,6.2,0.108,7.2,8.775,0.18,28.5,66.33621640815892
2.7,4.6,423.0,11.3,0.043,6.0,5.64,0.053,27.2,65.44989579453423
4.7,6.2,356.0,11.6,0.043,8.2,3.784,0.11,29.0,57.23115543688282
2.8,6.0,449.0,6.7,0.418,10.0,6.696,0.451,27.7,48.498828555020765
0.9,3.8,153.0,9.0,0.015,5.2,1.957,0.027,26.0,54.7285665380944
0.9,3.9,139.0,8.0,0.054,9.9,2.326,0.081,25.6,49.54822504782753
2.3,4.1,370.0,9.6,0.082,6.2,5.172,0.091,27.0,54.47374701647841
1.2,4.0,164.0,8.5,0.048,13.0,2.26,0.093,27.1,53.28597250794117
2.5,5.2,286.0,5.4,0.115,18.6,4.656,0.13,27.1,50.99932152387919
2.5,6.2,215.0,4.4,0.168,6.0,3.24,0.202,27.1,49.405010825506025
1.1,3.3,124.0,8.3,0.01,6.4,1.673,0.031,25.5,52.37038617857949
0.6,3.0,189.0,10.2,0.043,2.4,2.256,0.048,24.0,46.773341117012215
1.6,4.7,381.0,13.1,0.058,4.8,6.6,0.062,22.5,40.34379989323088
0.6,3.1,130.0,9.0,0.02,3.6,1.897,0.038,23.4,51.47795303438132
1.5,3.9,194.0,7.3,0.112,13.5,3.103,0.138,23.5,52.58136205179716
2.9,7.3,562.0,8.4,0.09,3.7,9.432,0.112,23.6,53.28597250794117
0.3,2.6,385.0,14.1,0.014,1.4,3.76,0.019,24.2,47.67397317518535
1.7,5.0,170.0,8.5,0.116,13.6,3.035,0.165,22.7,63.66694148868076
1.0,3.2,126.0,9.3,0.014,1.8,1.829,0.014,24.4,38.33476670517349
0.9,3.1,149.0,7.7,0.04,5.2,1.91,0.054,23.4,50.10104735539413
2.0,4.8,401.0,14.3,0.053,1.4,5.628,0.053,22.7,47.32357878485895
1.2,4.0,203.0,5.6,0.123,5.2,3.055,0.131,24.0,46.38858592097853
2.2,5.3,225.0,9.6,0.312,1.6,4.592,0.317,21.9,50.49613430593732
0.6,3.5,169.0,9.2,0.04,5.0,2.147,0.054,23.2,51.12118644506504
2.4,8.6,355.0,11.8,0.422,8.8,7.032,0.461,22.4,68.55602309832949
2.3,6.7,533.0,6.3,0.134,10.4,10.224,0.158,22.5,55.91192709830071
1.3,4.6,379.0,12.3,0.043,4.6,7.144,0.048,24.4,51.47795303438132
1.8,5.0,146.0,10.1,0.018,6.6,2.066,0.04,22.8,63.80086848342205
0.2,6.6,379.0,14.0,0.197,2.8,5.28,0.202,21.8,51.82219888172988
0.7,4.2,434.0,14.6,0.082,1.0,2.8,0.086,21.6,45.570612337286434
1.6,6.4,447.0,9.5,0.163,3.4,7.068,0.178,24.4,47.14357373452395
1.8,4.1,366.0,14.8,0.058,9.8,5.772,0.062,24.8,41.6990547137277
1.4,3.7,157.0,8.8,0.032,5.8,1.99,0.043,23.2,55.53311555588719
10.0,9.8,447.0,7.7,0.754,6.2,12.72,0.821,25.6,42.60523698421296
3.3,6.8,227.0,5.5,0.154,4.4,3.008,0.178,23.9,57.799095365172256
0.5,2.3,151.0,10.0,0.014,3.2,2.069,0.019,26.2,43.16596102398285
17.3,13.7,368.0,8.6,1.411,18.0,15.288,1.488,9.3,37.39977384129307
1.5,4.0,275.0,14.8,0.006,3.8,4.029,0.036,1.9,56.34799888912059
2.7,3.8,178.0,12.3,0.067,4.6,4.088,0.106,1.6,55.05834549003245
4.5,2.4,291.0,17.2,0.043,3.2,8.988,0.053,0.1,47.84458617118879
1.0,3.3,271.0,17.8,0.008,3.2,3.23,0.021,2.3,54.21213151260241
1.6,3.9,226.0,15.9,0.008,4.2,2.77,0.022,1.4,60.27810545355421
2.9,5.9,295.0,13.1,0.072,4.4,10.656,0.115,7.5,45.35499926237525
2.2,5.6,340.0,14.7,0.159,6.0,5.631,0.407,2.1,54.21213151260241
2.2,5.5,362.0,14.6,0.098,6.2,5.907,0.138,3.0,62.59958543356404
7.2,11.3,1007.0,8.1,0.05,6.2,28.65,0.11,8.2,52.787895996027885
1.3,3.6,300.0,16.6,0.002,4.4,3.06,0.024,2.2,59.223330881746776
1.8,3.1,195.0,17.6,0.192,1.0,6.168,0.197,-0.8,53.57311495830528
2.5,5.1,322.0,12.6,0.109,4.3,5.27,0.185,2.8,59.17016001987257
1.8,3.0,279.0,13.4,0.125,3.0,7.08,0.134,0.3,39.97356727571915
1.9,4.5,302.0,14.7,0.057,4.2,4.843,0.093,2.1,53.38262353604711
0.9,2.5,139.0,17.2,0.01,1.8,3.101,0.014,0.1,53.08976596754874
2.8,3.7,399.0,12.6,0.11,2.6,6.12,0.115,1.4,43.95117998626024
1.7,5.1,273.0,12.5,0.058,5.0,9.288,0.101,4.2,46.773341117012215
0.9,2.0,295.0,18.0,0.029,4.6,5.584,0.029,0.0,43.434744960768256
6.0,9.1,370.0,9.3,0.379,3.8,15.0,0.418,7.6,49.11215325700765
5.6,7.3,311.0,22.0,0.091,7.4,18.96,0.158,0.7,50.99932152387919
3.4,4.1,243.0,14.3,0.115,1.6,8.508,0.12,0.7,50.23451880206132
1.1,2.6,156.0,14.7,0.019,4.6,3.302,0.019,1.5,37.39977384129307
7.4,10.0,398.0,15.6,0.072,3.8,21.672,0.091,1.9,47.67397317518535
1.3,2.5,130.0,16.6,0.014,0.6,2.837,0.019,1.0,56.418829521740506
0.7,1.2,354.0,13.3,0.014,1.2,3.032,0.014,6.2,34.577612710541096
1.4,4.1,515.0,12.6,0.121,3.6,7.965,0.14,20.9,45.78158821050409
4.6,8.7,577.0,3.6,0.976,13.2,13.077,1.169,22.0,40.34379989323088
1.1,4.1,225.0,10.0,0.011,7.4,2.303,0.032,18.7,57.67569751172296
4.5,4.8,439.0,9.7,0.099,33.6,2.908,0.132,17.2,55.837325978331705
1.3,4.5,150.0,9.9,0.005,8.0,2.164,0.033,18.4,66.10232453443425
1.7,4.7,285.0,9.0,0.154,9.2,3.803,0.187,18.0,56.558974762338245
0.4,3.3,208.0,10.4,0.01,3.6,2.213,0.016,18.7,46.773341117012215
2.6,4.1,305.0,5.2,0.042,4.4,2.0,0.068,17.1,53.943347575817015
0.9,3.5,260.0,11.0,0.068,3.6,3.291,0.076,14.9,46.96020390967473
0.2,2.3,291.0,11.5,0.022,5.2,2.289,0.033,17.3,35.21073560290067
0.9,2.5,507.0,11.3,0.015,5.2,2.503,0.018,17.8,42.01050944419373
1.5,4.8,287.0,8.5,0.141,10.6,3.893,0.171,19.1,58.62197272302294
2.8,5.7,551.0,6.1,0.191,8.4,8.122,0.229,20.1,41.04481232989572
0.3,4.2,459.0,8.4,0.096,1.6,5.499,0.115,15.5,46.190397362193664
0.6,3.5,531.0,9.5,0.084,6.0,6.693,0.112,17.7,40.70056648254716
0.1,3.1,214.0,9.5,0.004,4.8,1.941,0.01,19.6,48.01228256244352
1.2,5.3,251.0,9.9,0.014,6.8,2.526,0.023,18.9,56.558974762338245
4.3,7.8,669.0,7.8,0.093,2.7,12.755,0.118,19.1,41.37738655183416
0.7,4.3,528.0,10.8,0.115,4.4,7.757,0.123,17.3,50.36619863151962
1.3,3.4,360.0,13.0,0.023,2.8,4.201,0.035,15.3,39.97356727571915
1.0,6.4,513.0,6.5,0.053,8.0,8.16,0.074,17.1,51.12118644506504
1.5,4.2,209.0,10.7,0.02,6.3,2.293,0.039,17.8,58.0413298946838
1.9,5.1,283.0,8.3,0.114,12.0,3.543,0.149,19.6,55.21916876393183
0.9,5.5,432.0,10.1,0.155,4.8,7.994,0.184,16.2,46.96020390967473
2.2,2.5,416.0,16.1,0.036,4.4,3.767,0.045,15.6,54.300114165133294
1.9,5.2,302.0,8.4,0.242,7.0,5.152,0.311,19.3,59.58766983732095
0.9,4.0,220.0,10.1,0.047,4.0,3.135,0.052,13.0,50.10104735539413
4.9,6.0,576.0,12.4,0.381,7.6,9.165,0.508,16.1,43.16596102398285
0.5,1.1,197.0,10.5,0.004,2.4,2.316,0.009,13.4,33.9007926412541
4.2,6.9,891.0,13.5,1.071,15.6,11.054,1.194,17.2,42.60523698421296
2.7,5.7,634.0,6.7,0.081,7.2,10.131,0.147,13.4,45.988122154734825
